station_key,station_id,station_name,total_start_count,total_end_count
fb2e87e7ceddeef53cb962ac16473f3e,300252,"Canada Water Station, Rotherhithe",2931,3191
2c8e0226ffa72c0dab0e664f3d600bf4,844,"Canada Water Station, Rotherhithe",26662,28582
7acfd08639c6e62e3c180c1a8f660d64,22175,"Canton Street, Poplar",1414,1381
4c0d90379e43da6fca7cb25546bbdb68,487,"Canton Street, Poplar",40739,39786
d923785ed1a39515872652f32a319625,468,"Cantrell Road, Bow",29783,27302
e952ce45b06b96b087a73c24a63529f7,200150,"Cantrell Road, Bow",1072,980
0f347ce6785a9e46dbc9e5cebf9e0b78,968,"Cardinal Place, Victoria",5454,5814
a02936be280084e8a71c02ba8a556b6f,316,"Cardinal Place, Victoria",92893,99298
bc4b05955ed3bb7a03a8edc4b641473d,232,"Carey Street, Holborn",42760,44804
40e624c0265be393264080cc76abb6f5,1139,"Carey Street, Holborn",1335,1405
be8d893ee28dff0647fe1084675c12c9,300035,"Carnegie Street, King's Cross",2251,1746
92bda03c3eb865700ad279a7ed34ba67,674,"Carnegie Street, King's Cross",71066,54200
ba0d38d0af549c1ee51855bb757ed42b,525,"Cartier Circle, Canary Wharf",7103,7075
8b97616fce3757e56d3e84e3ef26da45,16,"Cartwright Gardens , Bloomsbury",109798,99999
a9e5855f88c1e1dacfb58caf94d5fb8a,1010,"Cartwright Gardens , Bloomsbury",2981,2630
a3ee8b241920f11e1f1f7b9bed4bd530,474,"Castalia Square, Cubitt Town",29474,30530
0a7e17bc9b5879f78bc8e9c13c0881d8,200155,"Castalia Square, Cubitt Town",2494,2460
f9e3b1450ee8e79d4239d5509983f268,457,"Castlehaven Road, Camden Town",140214,137573
ba30aec7bcffff3e5fdd1f9c5319005d,200016,"Castlehaven Road, Camden Town",3251,3330
02302dbf680ba922efa4fab8e611737d,33,"Central House, Aldgate",111222,111480
28f8e1d10413767543ab497cada7bb8c,3430,"Central House, Aldgate",1737,1776
f75b54f82e928022f2ffb47c9d3aab7b,33,"Central House, Whitechapel",111222,111480
76948fc14c20f9afb40522a6d12a34a4,501,"Cephas Street, Bethnal Green",80934,74301
180a36b0abbc9b2165fca8943ee65492,200073,"Cephas Street, Bethnal Green",2347,2150
87a2b90ee2bb7ed9abe9239a0e5c8cfd,3471,"Chadwell Street, Angel",3598,2951
